File Creation Time UTC,5/18/2021 17:46,,,,,,,,,,,,,,,,,
SW Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,,,,
SW Version,v01.06,,,,,,,,,,,,,,,,,
SW BuildDate,11/28/2019,,,,,,,,,,,,,,,,,
SW StartTime,5/18/2021 12:15,,,,,,,,,,,,,,,,,
Lib Version,v1.6.1,,,,,,,,,,,,,,,,,
Company,Micro-Sensys GmbH,,,,,,,,,,,,,,,,,
OS Version,v10.0.17763.865,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,
,Scan mode,MPC,,,,,,,,,,,,,,,,
,,DataGetDelay_Seconds,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Found Hardware,,,,,,,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,,,
,0x01,25SQCMICSCB30E12,,,,,,,,,,,,,,,,
,0x10,200192,D0.22,98.26.01,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,,,
18:53:26,10,200192,25SQCMICSBB5DCE003D3A,,DPC,17:54.9,17:56.1,4,Unknown,,x,,,19:18:01,,,,18:53:26
18:53:26,10,200192,25SQCMICSBBC93C005517,,DPC,18:41.9,18:45.5,11,Departing,x,x,,,19:18:46,,,,18:53:26
18:55:57,10,200192,25SQCMICSBBC93C005517,,DPC,19:04.1,19:05.6,6,Arriving,x,x,,,19:19:17,,,,18:55:57
18:55:57,10,200192,25SQCMICSBBF1200055DF,,DPC,23:28.4,23:32.3,14,Unknown,,x,,,19:23:32,,,,18:55:57
18:56:12,10,200192,25SQCMICSBBF1200055DF,,DPC,23:32.7,23:47.4,28,Unknown,,x,,,19:23:48,,,,18:56:12
18:56:27,10,200192,25SQCMICSBBF1200055DF,,DPC,23:47.8,23:56.5,17,Departing,x,x,,,19:24:03,,,,18:56:27
18:56:42,10,200192,25SQCMICSBBF1200055DF,,DPC,24:10.3,24:11.5,5,Arriving,x,x,,,19:24:18,,,,18:56:42
18:56:42,10,200192,25SQCMICSBB295A0055B1,,DPC,29:24.6,29:24.6,1,Unknown,,x,,,19:29:34,,,,18:56:42
18:56:57,10,200192,25SQCMICSBB812C00094F,,DPC,29:34.9,29:38.8,9,Departing,x,x,,,19:29:49,,,,18:56:57
18:57:12,10,200192,25SQCMICSBBF6E1003CEC,,DPC,29:52.6,29:52.9,2,Unknown,,x,,,19:30:04,,,,18:57:12
18:57:27,10,200192,25SQCMICSBB295A0055B1,,DPC,29:53.8,29:55.0,5,Arriving,x,x,,,19:30:04,,,,18:57:27
18:57:42,10,200192,25SQCMICSBB812C00094F,,DPC,30:03.4,30:04.0,3,Arriving,x,x,,,19:30:04,,,,18:57:42
18:57:57,10,200192,25SQCMICSBBF6E1003CEC,,DPC,30:13.1,30:18.8,15,Unknown,,x,,,19:30:19,,,,18:57:57
18:58:43,10,200192,25SQCMICSBB6CE50055CF,,DPC,30:17.9,30:17.9,1,Unknown,,x,,,19:30:19,,,,18:58:43
18:58:58,10,200192,25SQCMICSBBF6E1003CEC,,DPC,30:19.2,30:33.6,48,Unknown,,x,,,19:30:34,,,,18:58:58
18:59:43,10,200192,25SQCMICSBBF6E1003CEC,,DPC,30:35.4,30:39.0,2,Departing,x,x,,,19:30:49,,,,18:59:43
18:59:58,10,200192,25SQCMICSBB8BDC0055D0,,DPC,30:46.2,30:48.6,9,Departing,x,x,,,19:30:49,,,,18:59:58
17:45:59,10,200192,25SQCMICSBB8BDC0055D0,,DPC,31:32.0,31:33.5,6,Arriving,x,x,,,19:31:34,,,,17:45:59
17:46:14,10,200192,25SQCMICSBBF6E1003CEC,,DPC,31:34.4,31:34.4,1,Unknown,x,,,,19:31:34,,,,17:46:14
17:46:29,10,200192,25SQCMICSBBF6E1003CEC,,DPC,31:34.5,31:35.7,5,Arriving,x,x,,,19:31:49,,,,17:46:29
17:46:44,10,200192,25SQCMICSBB88F9005524,,DPC,33:02.4,33:03.6,5,Arriving,x,x,,,19:33:05,,,,17:46:44
17:52:00,10,200192,25SQCMICSBBC52B003866,,DPC,34:54.6,35:05.1,16,Unknown,,x,,,19:35:05,,,,17:52:00
18:35:08,10,200192,25SQCMICSBBC52B003866,,DPC,35:05.2,35:19.3,40,Unknown,,x,,,19:35:20,,,,18:35:08
18:35:23,10,200192,25SQCMICSBBC52B003866,,DPC,35:22.4,35:34.7,42,Departing,x,x,,,19:35:35,,,,18:35:23
18:40:39,10,200192,25SQCMICSBBC52B003866,,DPC,35:43.1,35:50.3,25,Arriving,x,x,,,19:35:50,,,,18:40:39
18:40:39,10,200192,25SQCMICSBBC52B003866,,DPC,35:50.3,35:56.0,20,Departing,x,x,,,19:36:05,,,,18:40:39
18:40:54,10,200192,25SQCMICSBBC52B003866,,DPC,36:06.1,36:20.2,23,Arriving,x,x,,,19:36:20,,,,18:40:54
18:41:09,10,200192,25SQCMICSBBC52B003866,,DPC,36:20.5,36:25.3,14,Arriving,x,x,,,19:36:35,,,,18:41:09
18:41:09,10,200192,25SQCMICSBB5DCE003D3A,,DPC,41:03.0,41:04.5,5,Unknown,,x,,,19:41:06,,,,18:41:09
18:45:55,10,200192,25SQCMICSBB5DCE003D3A,,DPC,41:18.4,41:19.9,3,Unknown,,x,,,19:41:21,,,,18:45:55
18:46:10,10,200192,25SQCMICSBB5DCE003D3A,,DPC,41:30.1,41:36.1,14,Unknown,,x,,,19:41:36,,,,18:46:10
18:46:25,10,200192,25SQCMICSBB5DCE003D3A,,DPC,41:36.5,41:51.5,49,Unknown,,x,,,19:41:51,,,,18:46:25
18:46:40,10,200192,25SQCMICSBB5DCE003D3A,,DPC,41:51.5,41:53.3,7,Unknown,,x,,,19:42:06,,,,18:46:40
18:52:26,10,200192,25SQCMICSBB357D005500,,DPC,42:50.5,42:51.4,4,Unknown,,x,,,19:42:52,,,,18:52:26
18:52:41,10,200192,25SQCMICSBB357D005500,,DPC,42:51.8,42:53.9,5,Unknown,,x,,,19:43:07,,,,18:52:41
18:53:11,10,200192,25SQCMICSBBCCEC0055B8,,DPC,43:22.8,43:30.6,16,Departing,x,x,,,19:43:37,,,,18:53:11
18:53:26,10,200192,25SQCMICSBB357D005500,,DPC,43:33.6,43:36.3,9,Arriving,x,x,,,19:43:37,,,,18:53:26
18:53:26,10,200192,25SQCMICSBBCCEC0055B8,,DPC,43:47.5,43:50.5,7,Arriving,x,x,,,19:43:52,,,,18:53:26
18:55:57,10,200192,25SQCMICSBBCCEC0055B8,,DPC,43:52.1,44:02.0,25,Arriving,x,x,,,19:44:07,,,,18:55:57
18:55:57,10,200192,25SQCMICSBB4DB70054CB,,DPC,44:46.6,44:47.8,5,Arriving,x,x,,,19:44:52,,,,18:55:57
18:56:12,10,200192,25SQCMICSBB3CA800096B,,DPC,45:23.9,45:29.6,12,Arriving,x,x,,,19:45:37,,,,18:56:12
18:56:27,10,200192,25SQCMICSBB6F790054A9,,DPC,47:11.9,47:14.9,11,Departing,x,x,,,19:47:22,,,,18:56:27
18:56:42,10,200192,25SQCMICSBB6F790054A9,,DPC,48:04.6,48:05.2,3,Arriving,x,x,,,19:48:08,,,,18:56:42
18:56:42,10,200192,25SQCMICSBB0791000957,,DPC,48:05.2,48:07.6,9,Arriving,x,x,,,19:48:08,,,,18:56:42
18:56:57,10,200192,25SQCMICSBB0791000957,,DPC,48:07.9,48:07.9,1,Unknown,,x,,,19:48:23,,,,18:56:57
18:57:12,10,200192,25SQCMICSBBD51B0055C6,,DPC,50:00.5,50:02.3,5,Unknown,,x,,,19:50:08,,,,18:57:12
18:57:27,10,200192,25SQCMICSBBD51B0055C6,,DPC,50:19.0,50:23.2,12,Unknown,,x,,,19:50:23,,,,18:57:27
18:57:42,10,200192,25SQCMICSBB08080054B5,,DPC,50:19.6,50:22.3,6,Unknown,,x,,,19:50:23,,,,18:57:42
18:57:57,10,200192,25SQCMICSBBD51B0055C6,,DPC,50:23.5,50:24.4,4,Unknown,,x,,,19:50:38,,,,18:57:57
18:58:43,10,200192,25SQCMICSBB08080054B5,,DPC,50:24.7,50:25.3,3,Unknown,x,,,,19:50:38,,,,18:58:43
18:58:58,10,200192,25SQCMICSBB08080054B5,,DPC,51:05.7,51:07.2,6,Arriving,x,x,,,19:51:08,,,,18:58:58
18:59:43,10,200192,25SQCMICSBBDE0000095F,,DPC,53:35.2,53:37.3,8,Arriving,x,x,,,19:53:39,,,,18:59:43
18:59:58,10,200192,25SQCMICSBB9610005507,,DPC,57:20.9,57:24.8,14,Arriving,x,x,,,19:57:25,,,,18:59:58
17:45:59,10,200192,25SQCMICSBB9610005507,,DPC,57:24.9,57:32.7,27,Unknown,x,,,,19:57:40,,,,17:45:59
17:46:14,10,200192,25SQCMICSBBF31600547B,,DPC,58:07.3,58:07.3,1,Unknown,,x,,,19:58:10,,,,17:46:14
17:46:29,10,200192,25SQCMICSBB35E3003CEE,,DPC,58:31.2,58:39.9,6,Unknown,x,,,,19:58:40,,,,17:46:29
17:46:44,10,200192,25SQCMICSBB9610005507,,DPC,58:33.9,58:39.9,20,Arriving,x,x,,,19:58:40,,,,17:46:44
17:52:00,10,200192,25SQCMICSBB35E3003CEE,,DPC,58:40.2,58:55.2,50,Departing,x,x,,,19:58:55,,,,17:52:00
18:35:08,10,200192,25SQCMICSBB9610005507,,DPC,58:40.2,58:53.4,36,Arriving,x,x,,,19:58:55,,,,18:35:08
18:35:23,10,200192,25SQCMICSBBF31600547B,,DPC,58:47.7,58:49.2,6,Arriving,x,x,,,19:58:55,,,,18:35:23
18:40:39,10,200192,25SQCMICSBB35E3003CEE,,DPC,58:55.3,58:56.2,4,Unknown,x,,,,19:59:10,,,,18:40:39
18:40:39,10,200192,25SQCMICSBB35E3003CEE,,DPC,59:24.2,59:24.8,3,Arriving,x,x,,,19:59:25,,,,18:40:39
18:40:54,10,200192,25SQCMICSBB0E450054FC,,DPC,00:34.9,00:36.4,6,Departing,x,x,,,20:00:40,,,,18:40:54
18:41:09,10,200192,25SQCMICSBB71D00055AA,,DPC,01:13.8,01:20.1,15,Departing,x,x,,,20:01:26,,,,18:41:09
18:41:09,10,200192,25SQCMICSBB71D00055AA,,DPC,01:34.6,01:34.9,2,Unknown,,x,,,20:01:41,,,,18:41:09
18:45:55,10,200192,25SQCMICSBB0E450054FC,,DPC,01:38.5,01:39.7,5,Arriving,x,x,,,20:01:41,,,,18:45:55
18:46:10,10,200192,25SQCMICSBBBA0100099C,,DPC,01:53.2,01:55.9,10,Unknown,,x,,,20:01:56,,,,18:46:10
18:46:25,10,200192,25SQCMICSBBBA0100099C,,DPC,01:56.0,01:58.4,9,Departing,x,x,,,20:02:11,,,,18:46:25
